type,id,lat,lon
node,2631338192,24.7883791,120.9962934
node,2631338195,24.7884191,120.9954965
node,2631338200,24.7884444,120.9970368
node,2631338201,24.7884455,120.9968503
node,2631338207,24.7885079,120.9971198
node,2631338217,24.7886537,120.9983019
node,2631338218,24.7888514,120.9984
node,2635340538,24.7857009,120.9952783
node,2638608489,24.7870257,120.9992892
node,2638608494,24.7878051,120.9986531
node,2638608499,24.7878123,121.0005411
node,2638608500,24.7877969,121.0009204
node,2638608510,24.7882983,121.0004761
node,2638608517,24.7887669,120.9999962
node,2638608518,24.7889115,121.0000381
node,2639614946,24.7877109,120.9925101
node,2689172057,24.7891681,120.9930682
node,2689172352,24.7898106,120.9939359
node,2689172354,24.7893383,120.9934344
node,2703900358,24.7873775,120.9977122
node,2713560830,24.7835643,120.9926403
node,2713560838,24.7834844,120.9938435
node,2713562724,24.7823932,120.9947078
node,2713562725,24.7825758,120.9945978
node,2713562726,24.782551,120.9943289
node,2713562729,24.7828435,120.9945152
node,2714030924,24.789498,120.9958148
node,2714030926,24.7893827,120.995812
node,2714030937,24.7893839,120.9956568
node,2714030939,24.7890932,120.995654
node,2714030940,24.7890906,120.9958107
node,2714030941,24.7890881,120.9959701
node,2714056059,24.7890093,120.9958109
node,2773378646,24.7821141,121.0018363
node,2773378663,24.782593,121.0002297
node,2773378664,24.7825239,121.0005377
node,2773378666,24.7829549,121.0016276
node,2773378673,24.7831428,121.0016834
node,2773378675,24.7833054,121.0010975
node,2773378679,24.7831894,121.0022339
node,2773378683,24.7842796,121.0018622
node,2773378686,24.783894,121.0022022
node,2773378688,24.7844437,121.0007763
node,2773378738,24.783842,120.9947411
node,2773378743,24.7834792,120.9965034
node,2773378749,24.7832043,120.996508
node,2773378752,24.7836085,120.9950469
node,2773378766,24.7869119,120.9963156
node,2773378774,24.7871128,120.9963236
node,2773378776,24.7869533,120.9962815
node,2773378778,24.7870547,120.9962792
node,2773378780,24.7870613,120.9957923
node,2773378782,24.7870559,120.9961928
node,2773378784,24.7867531,120.9964506
node,2773378796,24.7873965,120.9964642
node,2773378797,24.7876497,120.9965145
node,2773378799,24.7874934,120.9973382
node,2773378813,24.7884197,120.9953827
node,2773378825,24.7877607,120.9954238
node,2773378837,24.7875731,120.996663
node,2773378841,24.7866263,120.9970409
node,2773378843,24.7867456,120.9970396
node,2773378857,24.7886505,120.9994516
node,2773378861,24.7887951,120.9985118
node,2773378864,24.7893579,120.997526
node,2773378866,24.7895947,120.9973411
node,2773378868,24.7894569,120.9967799
node,2773378872,24.7895646,120.9973426
node,2773378874,24.7894708,120.9976353
node,2773378876,24.7892084,120.9979736
node,2773378888,24.7888295,120.9977158
node,2773378892,24.7891448,120.997844
node,2773378894,24.7894817,120.9953978
node,2773378899,24.7894738,120.9963434
node,2773378905,24.7895603,120.99634
node,2773409831,24.7876281,121.0019652
node,2773409838,24.7875135,121.0019365
node,2773409840,24.7875126,121.0018009
